ATTENDANCE,WAIT TIME,START OF 1 RIDE FOR ATTRACTION,ATTRACTION,ATTENDANCE 15 MIN,GUEST CARRIED,DATE,EXACT START RIDE 1,MEAN GUEST CARRIED,PEOPLE IN LINE,PEOPLE INSIDE ATTRACTION,BIN
44942.37144570541,10.0,2022-08-01 09:30:00,Haunted House,1000.0000226352408,158.0,2022-08-01,09:30:00,150.2941176470588,0.0,150.0,"[0, 15)"
44942.37144570541,10.0,2022-08-01 18:00:00,Dizzy Dropper,44444.964974632734,124.0,2022-08-01,18:00:00,89.61111111111111,0.0,90.0,"[0, 15)"
44942.37144570541,35.0,2022-08-01 15:45:00,Water Ride,23041.209667808314,112.0,2022-08-01,15:45:00,120.93333333333334,161.0,121.0,"[150, 165)"
44942.37144570541,10.0,2022-08-01 20:45:00,Flying Coaster,22968.160564521742,477.0,2022-08-01,20:45:00,398.70588235294116,0.0,399.0,"[0, 15)"
44942.37144570541,25.0,2022-08-01 13:15:00,Dizzy Dropper,1321.0300427296502,110.0,2022-08-01,13:15:00,87.55555555555556,58.0,88.0,"[45, 60)"
44942.37144570541,30.0,2022-08-01 16:15:00,Inverted Coaster,32091.58185853619,218.0,2022-08-01,16:15:00,147.46153846153845,147.0,147.0,"[135, 150)"
44942.37144570541,15.0,2022-08-01 20:15:00,Haunted House,27295.535646360608,138.0,2022-08-01,20:15:00,141.35714285714286,0.0,141.0,"[0, 15)"
44942.37144570541,5.0,2022-08-01 10:00:00,Bumper Cars,1000.000557914214,196.0,2022-08-01,10:00:00,172.61111111111111,0.0,173.0,"[0, 15)"
44942.37144570541,5.0,2022-08-01 21:45:00,Spiral Slide,15353.011909387533,0.0,2022-08-01,21:45:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,35.0,2022-08-01 19:30:00,Vertical Drop,34017.31582091928,264.0,2022-08-01,19:30:00,261.7142857142857,349.0,262.0,"[345, 360)"
44942.37144570541,15.0,2022-08-01 20:15:00,Dizzy Dropper,27295.535646360608,112.0,2022-08-01,20:15:00,98.94444444444444,0.0,99.0,"[0, 15)"
44942.37144570541,10.0,2022-08-01 18:45:00,Bumper Cars,40252.70153318178,181.0,2022-08-01,18:45:00,173.33333333333334,0.0,173.0,"[0, 15)"
44942.37144570541,30.0,2022-08-01 12:15:00,Inverted Coaster,1015.2505723729208,253.0,2022-08-01,12:15:00,216.05882352941177,216.0,216.0,"[210, 225)"
44942.37144570541,60.0,2022-08-01 11:00:00,Free Fall,1000.0993035118928,44.0,2022-08-01,11:00:00,44.833333333333336,134.0,45.0,"[120, 135)"
44942.37144570541,10.0,2022-08-01 21:00:00,Flying Coaster,20913.840685340896,371.0,2022-08-01,21:00:00,372.05882352941177,0.0,372.0,"[0, 15)"
44942.37144570541,20.0,2022-08-01 12:45:00,Haunted House,1077.643067927418,128.0,2022-08-01,12:45:00,124.4375,41.0,124.0,"[30, 45)"
44942.37144570541,5.0,2022-08-01 09:30:00,Inverted Coaster,1000.0000226352408,258.0,2022-08-01,09:30:00,250.0,0.0,250.0,"[0, 15)"
44942.37144570541,25.0,2022-08-01 22:45:00,Zipline,9592.48759118281,72.0,2022-08-01,22:45:00,68.0,45.0,68.0,"[45, 60)"
44942.37144570541,-0.0,2022-08-01 19:45:00,Roller Coaster,31780.444361589867,0.0,2022-08-01,19:45:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,60.0,2022-08-01 11:15:00,Giant Wheel,1000.305287899274,329.0,2022-08-01,11:15:00,262.46666666666664,787.0,262.0,"[780, 795)"
44942.37144570541,10.0,2022-08-01 18:15:00,Bumper Cars,43420.131378672806,183.0,2022-08-01,18:15:00,172.22222222222223,0.0,172.0,"[0, 15)"
44942.37144570541,5.0,2022-08-01 18:15:00,Giga Coaster,43420.131378672806,0.0,2022-08-01,18:15:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,15.0,2022-08-01 20:30:00,Go-Karts,25101.24671120005,275.0,2022-08-01,20:30:00,304.88235294117646,0.0,305.0,"[0, 15)"
44942.37144570541,30.0,2022-08-01 15:30:00,Roller Coaster,18565.21316112409,21.0,2022-08-01,15:30:00,27.61111111111111,28.0,28.0,"[15, 30)"
44942.37144570541,-0.0,2022-08-01 15:15:00,Himalaya Ride,14455.95163348344,0.0,2022-08-01,15:15:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,60.0,2022-08-01 13:30:00,Swing Ride,1605.0142697920946,86.0,2022-08-01,13:30:00,85.38888888888889,256.0,85.0,"[255, 270)"
44942.37144570541,20.0,2022-08-01 17:00:00,Go-Karts,42119.48109595116,296.0,2022-08-01,17:00:00,309.8235294117647,103.0,310.0,"[90, 105)"
44942.37144570541,20.0,2022-08-01 20:15:00,Water Ride,27295.535646360608,127.0,2022-08-01,20:15:00,137.875,46.0,138.0,"[45, 60)"
44942.37144570541,55.0,2022-08-01 16:30:00,Giant Wheel,36123.26021018167,260.0,2022-08-01,16:30:00,239.875,640.0,240.0,"[630, 645)"
44942.37144570541,20.0,2022-08-01 15:15:00,Dizzy Dropper,14455.95163348344,90.0,2022-08-01,15:15:00,93.44444444444444,31.0,93.0,"[30, 45)"
44942.37144570541,10.0,2022-08-01 11:00:00,Bumper Cars,1000.0993035118928,162.0,2022-08-01,11:00:00,180.55555555555554,0.0,181.0,"[0, 15)"
44942.37144570541,25.0,2022-08-01 15:15:00,Spiral Slide,14455.95163348344,44.0,2022-08-01,15:15:00,28.72222222222222,19.0,29.0,"[15, 30)"
44942.37144570541,5.0,2022-08-01 18:45:00,Giga Coaster,40252.70153318178,0.0,2022-08-01,18:45:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,10.0,2022-08-01 20:45:00,Bumper Cars,22968.160564521742,160.0,2022-08-01,20:45:00,165.94117647058823,0.0,166.0,"[0, 15)"
44942.37144570541,5.0,2022-08-01 22:45:00,Spiral Slide,9592.48759118281,0.0,2022-08-01,22:45:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,5.0,2022-08-01 18:45:00,Inverted Coaster,40252.70153318178,0.0,2022-08-01,18:45:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,20.0,2022-08-01 17:15:00,Spinning Coaster,43872.32177475855,318.0,2022-08-01,17:15:00,286.6666666666667,96.0,287.0,"[90, 105)"
44942.37144570541,40.0,2022-08-01 11:30:00,Vertical Drop,1000.8838446885331,289.0,2022-08-01,11:30:00,240.07692307692307,400.0,240.0,"[390, 405)"
44942.37144570541,10.0,2022-08-01 10:15:00,Dizzy Dropper,1000.002294432668,123.0,2022-08-01,10:15:00,100.16666666666667,0.0,100.0,"[0, 15)"
44942.37144570541,55.0,2022-08-01 14:45:00,Free Fall,7964.117397285284,29.0,2022-08-01,14:45:00,38.666666666666664,103.0,39.0,"[90, 105)"
44942.37144570541,45.0,2022-08-01 11:15:00,Zipline,1000.305287899274,75.0,2022-08-01,11:15:00,63.611111111111114,127.0,64.0,"[120, 135)"
44942.37144570541,25.0,2022-08-01 16:45:00,Merry Go Round,39515.229878048274,334.0,2022-08-01,16:45:00,296.8235294117647,198.0,297.0,"[195, 210)"
44942.37144570541,60.0,2022-08-01 18:00:00,Giant Wheel,44444.964974632734,316.0,2022-08-01,18:00:00,272.93333333333334,819.0,273.0,"[810, 825)"
44942.37144570541,25.0,2022-08-01 13:30:00,Spinning Coaster,1605.0142697920946,310.0,2022-08-01,13:30:00,272.27777777777777,182.0,272.0,"[180, 195)"
44942.37144570541,25.0,2022-08-01 14:15:00,Merry Go Round,4018.351850248393,287.0,2022-08-01,14:15:00,309.8333333333333,207.0,310.0,"[195, 210)"
44942.37144570541,30.0,2022-08-01 12:00:00,Spiral Slide,1006.2376552559006,50.0,2022-08-01,12:00:00,32.166666666666664,32.0,32.0,"[30, 45)"
44942.37144570541,10.0,2022-08-01 16:00:00,Circus Train,27641.702968481128,249.0,2022-08-01,16:00:00,238.11764705882354,0.0,238.0,"[0, 15)"
44942.37144570541,35.0,2022-08-01 11:00:00,Drop Tower,1000.0993035118928,123.0,2022-08-01,11:00:00,108.22222222222223,144.0,108.0,"[135, 150)"
44942.37144570541,25.0,2022-08-01 18:15:00,Go-Karts,43420.131378672806,371.0,2022-08-01,18:15:00,299.9375,200.0,300.0,"[195, 210)"
44942.37144570541,30.0,2022-08-01 15:00:00,Spinning Coaster,10890.53967179689,307.0,2022-08-01,15:00:00,295.1111111111111,295.0,295.0,"[285, 300)"
44942.37144570541,20.0,2022-08-01 17:45:00,Go-Karts,44942.37144570541,254.0,2022-08-01,17:45:00,316.52941176470586,106.0,317.0,"[105, 120)"
44942.37144570541,5.0,2022-08-01 21:30:00,Rapids Ride,17096.261807376497,0.0,2022-08-01,21:30:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,55.0,2022-08-01 12:45:00,Free Fall,1077.643067927418,45.0,2022-08-01,12:45:00,43.44444444444444,116.0,43.0,"[105, 120)"
44942.37144570541,35.0,2022-08-01 09:45:00,Swing Ride,1000.0001217193994,171.0,2022-08-01,09:45:00,146.72222222222223,196.0,147.0,"[195, 210)"
44942.37144570541,5.0,2022-08-01 13:00:00,Crazy Dance,1161.9724162462849,0.0,2022-08-01,13:00:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,50.0,2022-08-01 13:00:00,Zipline,1161.9724162462849,60.0,2022-08-01,13:00:00,59.5,139.0,60.0,"[135, 150)"
44942.37144570541,5.0,2022-08-01 10:45:00,Rapids Ride,1000.0303272697907,240.0,2022-08-01,10:45:00,201.5556,0.0,202.0,"[0, 15)"
44942.37144570541,15.0,2022-08-01 10:45:00,Dizzy Dropper,1000.0303272697907,119.0,2022-08-01,10:45:00,107.88888888888889,0.0,108.0,"[0, 15)"
44942.37144570541,-0.0,2022-08-01 16:30:00,Giga Coaster,36123.26021018167,0.0,2022-08-01,16:30:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,40.0,2022-08-01 10:30:00,Vertical Drop,1000.0086576742412,293.0,2022-08-01,10:30:00,234.64285714285714,391.0,235.0,"[390, 405)"
44942.37144570541,25.0,2022-08-01 16:00:00,Merry Go Round,27641.702968481128,268.0,2022-08-01,16:00:00,291.6111111111111,194.0,292.0,"[180, 195)"
44942.37144570541,25.0,2022-08-01 10:15:00,Spinning Coaster,1000.002294432668,149.0,2022-08-01,10:15:00,257.0,171.0,257.0,"[165, 180)"
44942.37144570541,15.0,2022-08-01 21:00:00,Haunted House,20913.840685340896,144.0,2022-08-01,21:00:00,141.2941176470588,0.0,141.0,"[0, 15)"
44942.37144570541,30.0,2022-08-01 11:45:00,Dizzy Dropper,1002.4149480337078,117.0,2022-08-01,11:45:00,88.66666666666667,89.0,89.0,"[75, 90)"
44942.37144570541,10.0,2022-08-01 20:30:00,Merry Go Round,25101.24671120005,263.0,2022-08-01,20:30:00,212.58823529411765,0.0,213.0,"[0, 15)"
44942.37144570541,5.0,2022-08-01 17:45:00,Crazy Dance,44942.37144570541,0.0,2022-08-01,17:45:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,50.0,2022-08-01 19:00:00,Swing Ride,38302.308297904805,93.0,2022-08-01,19:00:00,111.0,259.0,111.0,"[255, 270)"
44942.37144570541,10.0,2022-08-01 12:00:00,Superman Ride,1006.2376552559006,152.0,2022-08-01,12:00:00,149.27777777777777,0.0,149.0,"[0, 15)"
44942.37144570541,20.0,2022-08-01 13:45:00,Rapids Ride,2085.0666381131123,180.0,2022-08-01,13:45:00,182.22233333333332,61.0,182.0,"[60, 75)"
44942.37144570541,10.0,2022-08-01 10:45:00,Bumper Cars,1000.0303272697907,173.0,2022-08-01,10:45:00,188.61111111111111,0.0,189.0,"[0, 15)"
44942.37144570541,60.0,2022-08-01 13:00:00,Swing Ride,1161.9724162462849,122.0,2022-08-01,13:00:00,86.33333333333333,259.0,86.0,"[255, 270)"
44942.37144570541,45.0,2022-08-01 16:45:00,Free Fall,39515.229878048274,61.0,2022-08-01,16:45:00,45.666666666666664,91.0,46.0,"[90, 105)"
44942.37144570541,25.0,2022-08-01 18:00:00,Go-Karts,44444.964974632734,349.0,2022-08-01,18:00:00,312.8125,209.0,313.0,"[195, 210)"
44942.37144570541,5.0,2022-08-01 13:15:00,Oz Theatre,1321.0300427296502,78.0,2022-08-01,13:15:00,114.33333333333333,0.0,114.0,"[0, 15)"
44942.37144570541,15.0,2022-08-01 12:30:00,Bumper Cars,1035.332622447555,201.0,2022-08-01,12:30:00,181.88888888888889,0.0,182.0,"[0, 15)"
44942.37144570541,55.0,2022-08-01 11:00:00,Giant Wheel,1000.0993035118928,353.0,2022-08-01,11:00:00,291.0,776.0,291.0,"[765, 780)"
44942.37144570541,60.0,2022-08-01 14:30:00,Giant Wheel,5690.641149876816,331.0,2022-08-01,14:30:00,257.8333333333333,774.0,258.0,"[765, 780)"
44942.37144570541,60.0,2022-08-01 14:00:00,Free Fall,2853.492913178954,22.0,2022-08-01,14:00:00,44.05555555555556,132.0,44.0,"[120, 135)"
44942.37144570541,-0.0,2022-08-01 10:00:00,Himalaya Ride,1000.000557914214,0.0,2022-08-01,10:00:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,25.0,2022-08-01 15:00:00,Flying Coaster,10890.53967179689,456.0,2022-08-01,15:00:00,496.1666666666667,331.0,496.0,"[330, 345)"
44942.37144570541,40.0,2022-08-01 12:45:00,Zipline,1077.643067927418,96.0,2022-08-01,12:45:00,57.333333333333336,96.0,57.0,"[90, 105)"
44942.37144570541,15.0,2022-08-01 18:00:00,Rapids Ride,44444.964974632734,213.0,2022-08-01,18:00:00,185.27783333333335,0.0,185.0,"[0, 15)"
44942.37144570541,-0.0,2022-08-01 17:15:00,Himalaya Ride,43872.32177475855,0.0,2022-08-01,17:15:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,15.0,2022-08-01 11:15:00,Dizzy Dropper,1000.305287899274,71.0,2022-08-01,11:15:00,94.11111111111111,0.0,94.0,"[0, 15)"
44942.37144570541,25.0,2022-08-01 18:30:00,Go-Karts,41987.6213450425,266.0,2022-08-01,18:30:00,281.70588235294116,188.0,282.0,"[180, 195)"
44942.37144570541,60.0,2022-08-01 13:30:00,Giant Wheel,1605.0142697920946,302.0,2022-08-01,13:30:00,261.1875,784.0,261.0,"[780, 795)"
44942.37144570541,25.0,2022-08-01 18:15:00,Bungee Jump,43420.131378672806,263.0,2022-08-01,18:15:00,245.0625,163.0,245.0,"[150, 165)"
44942.37144570541,10.0,2022-08-01 09:15:00,Dizzy Dropper,1000.0000030364906,95.0,2022-08-01,09:15:00,90.61111111111111,0.0,91.0,"[0, 15)"
44942.37144570541,10.0,2022-08-01 18:15:00,Merry Go Round,43420.131378672806,379.0,2022-08-01,18:15:00,318.72222222222223,0.0,319.0,"[0, 15)"
44942.37144570541,5.0,2022-08-01 19:15:00,Oz Theatre,36205.68446326215,0.0,2022-08-01,19:15:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,20.0,2022-08-01 18:00:00,Superman Ride,44444.964974632734,211.0,2022-08-01,18:00:00,210.88235294117646,70.0,211.0,"[60, 75)"
44942.37144570541,35.0,2022-08-01 17:45:00,Vertical Drop,44942.37144570541,248.0,2022-08-01,17:45:00,237.75,317.0,238.0,"[315, 330)"
44942.37144570541,25.0,2022-08-01 15:15:00,Rapids Ride,14455.95163348344,161.0,2022-08-01,15:15:00,206.0001111111111,137.0,206.0,"[135, 150)"
44942.37144570541,20.0,2022-08-01 17:15:00,Go-Karts,43872.32177475855,306.0,2022-08-01,17:15:00,325.11764705882354,108.0,325.0,"[105, 120)"
44942.37144570541,15.0,2022-08-01 10:30:00,Dizzy Dropper,1000.0086576742412,130.0,2022-08-01,10:30:00,109.94444444444444,0.0,110.0,"[0, 15)"
44942.37144570541,55.0,2022-08-01 15:00:00,Free Fall,10890.53967179689,41.0,2022-08-01,15:00:00,42.111111111111114,112.0,42.0,"[105, 120)"
44942.37144570541,15.0,2022-08-01 21:30:00,Spinning Coaster,17096.261807376497,265.0,2022-08-01,21:30:00,220.5,0.0,220.0,"[0, 15)"
44942.37144570541,10.0,2022-08-01 17:30:00,Bumper Cars,44788.40285819899,144.0,2022-08-01,17:30:00,159.44444444444446,0.0,159.0,"[0, 15)"
44942.37144570541,15.0,2022-08-01 12:45:00,Superman Ride,1077.643067927418,139.0,2022-08-01,12:45:00,184.22222222222223,0.0,184.0,"[0, 15)"
44942.37144570541,15.0,2022-08-01 14:15:00,Bumper Cars,4018.351850248393,198.0,2022-08-01,14:15:00,180.44444444444446,0.0,180.0,"[0, 15)"
44942.37144570541,60.0,2022-08-01 15:15:00,Giant Wheel,14455.95163348344,314.0,2022-08-01,15:15:00,253.72222222222223,761.0,254.0,"[750, 765)"
44942.37144570541,20.0,2022-08-01 10:30:00,Bungee Jump,1000.0086576742412,181.0,2022-08-01,10:30:00,207.13333333333333,69.0,207.0,"[60, 75)"
44942.37144570541,-0.0,2022-08-01 21:15:00,Free Fall,18952.727029707465,0.0,2022-08-01,21:15:00,0.0,0.0,0.0,"[0, 15)"
44942.37144570541,35.0,2022-08-01 13:45:00,Water Ride,2085.0666381131123,134.0,2022-08-01,13:45:00,113.0,151.0,113.0,"[150, 165)"
44942.37144570541,10.0,2022-08-01 09:00:00,Go-Karts,1000.0,249.0,2022-08-01,09:00:00,252.88235294117646,0.0,253.0,"[0, 15)"
44942.37144570541,50.0,2022-08-01 12:00:00,Zipline,1006.2376552559006,48.0,2022-08-01,12:00:00,58.388888888888886,136.0,58.0,"[135, 150)"
44942.37144570541,25.0,2022-08-01 16:00:00,Rapids Ride,27641.702968481128,176.0,2022-08-01,16:00:00,182.8824705882353,122.0,183.0,"[120, 135)"
44942.37144570541,40.0,2022-08-01 15:15:00,Vertical Drop,14455.95163348344,256.0,2022-08-01,15:15:00,227.0625,378.0,227.0,"[375, 390)"
44942.37144570541,30.0,2022-08-01 20:15:00,Zipline,27295.535646360608,44.0,2022-08-01,20:15:00,64.375,64.0,64.0,"[60, 75)"
44942.37144570541,25.0,2022-08-01 18:15:00,Water Ride,43420.131378672806,108.0,2022-08-01,18:15:00,127.625,85.0,128.0,"[75, 90)"
44942.37144570541,20.0,2022-08-01 21:15:00,Vertical Drop,18952.727029707465,252.0,2022-08-01,21:15:00,235.05882352941177,78.0,235.0,"[75, 90)"
44942.37144570541,25.0,2022-08-01 15:30:00,Haunted House,18565.21316112409,150.0,2022-08-01,15:30:00,120.88235294117646,81.0,121.0,"[75, 90)"
44942.37144570541,35.0,2022-08-01 11:15:00,Inverted Coaster,1000.305287899274,38.0,2022-08-01,11:15:00,197.2941176470588,263.0,197.0,"[255, 270)"
44942.37144570541,15.0,2022-08-01 19:45:00,Spinning Coaster,31780.444361589867,282.0,2022-08-01,19:45:00,251.35294117647058,0.0,251.0,"[0, 15)"
44942.37144570541,20.0,2022-08-01 15:30:00,Dizzy Dropper,18565.21316112409,100.0,2022-08-01,15:30:00,97.61111111111111,33.0,98.0,"[30, 45)"
44942.37144570541,25.0,2022-08-01 13:45:00,Dizzy Dropper,2085.0666381131123,152.0,2022-08-01,13:45:00,93.5,62.0,94.0,"[60, 75)"
44942.37144570541,15.0,2022-08-01 14:00:00,Superman Ride,2853.492913178954,185.0,2022-08-01,14:00:00,204.64705882352942,0.0,205.0,"[0, 15)"
44942.37144570541,45.0,2022-08-01 21:00:00,Swing Ride,20913.840685340896,134.0,2022-08-01,21:00:00,142.0,284.0,142.0,"[270, 285)"
44942.37144570541,25.0,2022-08-01 14:00:00,Go-Karts,2853.492913178954,294.0,2022-08-01,14:00:00,281.94117647058823,188.0,282.0,"[180, 195)"
44942.37144570541,10.0,2022-08-01 17:45:00,Bumper Cars,44942.37144570541,142.0,2022-08-01,17:45:00,160.11111111111111,0.0,160.0,"[0, 15)"
44942.37144570541,45.0,2022-08-01 20:00:00,Swing Ride,29530.13962731668,103.0,2022-08-01,20:00:00,124.17647058823529,248.0,124.0,"[240, 255)"
44942.37144570541,5.0,2022-08-01 13:00:00,Oz Theatre,1161.9724162462849,94.0,2022-08-01,13:00:00,107.5,0.0,108.0,"[0, 15)"
44942.37144570541,25.0,2022-08-01 12:00:00,Go-Karts,1006.2376552559006,321.0,2022-08-01,12:00:00,285.0,190.0,285.0,"[180, 195)"
44942.37144570541,40.0,2022-08-01 15:00:00,Water Ride,10890.53967179689,116.0,2022-08-01,15:00:00,118.6470588235294,198.0,119.0,"[195, 210)"
44942.37144570541,55.0,2022-08-01 16:15:00,Swing Ride,32091.58185853619,108.0,2022-08-01,16:15:00,99.06666666666666,264.0,99.0,"[255, 270)"
44942.37144570541,10.0,2022-08-01 09:45:00,Dizzy Dropper,1000.0001217193994,123.0,2022-08-01,09:45:00,111.61111111111111,0.0,112.0,"[0, 15)"
44942.37144570541,60.0,2022-08-01 17:45:00,Giant Wheel,44942.37144570541,336.0,2022-08-01,17:45:00,312.0,936.0,312.0,"[930, 945)"
44942.37144570541,35.0,2022-08-01 15:30:00,Vertical Drop,18565.21316112409,256.0,2022-08-01,15:30:00,246.8125,329.0,247.0,"[315, 330)"
44942.37144570541,25.0,2022-08-01 14:30:00,Haunted House,5690.641149876816,124.0,2022-08-01,14:30:00,118.9375,79.0,119.0,"[75, 90)"
44942.37144570541,60.0,2022-08-01 18:15:00,Giant Wheel,43420.131378672806,360.0,2022-08-01,18:15:00,303.73333333333335,911.0,304.0,"[900, 915)"
44942.37144570541,40.0,2022-08-01 20:00:00,Vertical Drop,29530.13962731668,291.0,2022-08-01,20:00:00,244.30769230769232,407.0,244.0,"[405, 420)"
44942.37144570541,25.0,2022-08-01 14:00:00,Haunted House,2853.492913178954,121.0,2022-08-01,14:00:00,116.33333333333333,78.0,116.0,"[75, 90)"
44942.37144570541,35.0,2022-08-01 15:15:00,Water Ride,14455.95163348344,169.0,2022-08-01,15:15:00,127.625,170.0,128.0,"[165, 180)"
44942.37144570541,20.0,2022-08-01 17:00:00,Rapids Ride,42119.48109595116,210.0,2022-08-01,17:00:00,179.58829411764708,60.0,180.0,"[60, 75)"
